Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent
,4.0,3000.0,3 out of 4,Super Area,Hitech City,--9 Hyderabad,Semi-Furnished,Bachel/ors:/Family,4.0,Contact Owner,45000
2022-06-26,3.0,2000.0,1 out of 1,Carpet Area,Kapra,?-9 Hyderabad,Semi-Furnished,Bachel:ors/Fam+ily,3.0,Contact Owner,20000
2022-06-14,2.0,800.0,2 out of 4,,"Lakdikapul, NH 9",)-9 Hyderabad,Unfurnished,Ba!chelors/+Family,2.0,Contact Owner,16000
2022-07-08,3.0,1000.0,3 out of 6,,Nizampet,India-( Hyderabad,Semi-Furnished,B>achelor;s/Family,3.0,Contact Owner,35000
2022-05-12,2.0,1200.0,,Super Area,"Manikonda, Outer Ring Road",!-9 Hyderabad,,Bache>]lors/Family,2.0,Contact Owner,15000
,1.0,400.0,1 out of 2,Super Area,"Ramanthapur, NH 2 2",India-' Hyderabad,Unfurnished,Bachel'ors/%Family,1.0,,5500
2022-06-04,3.0,1250.0,4 out of 5,,"Somajiguda, NH 9",India-. Hyderabad,Unfurnished,B?achelo(rs,2.0,Contact Owner,35000
2022-07-04,1.0,700.0,5 out of 5,Carpet Area,"Chanda Naik Nagar, Madhapur",{-9 Hyderabad,Semi-Furnished,Bac.helors/Fami=ly,1.0,,14000
2022-07-06,,1100.0,1 out of 5,,"Alkapur Township, Hyderabad",&-9 Hyderabad,Furnished,,2.0,Contact Owner,25000
2022-06-06,4.0,2050.0,1 out of 3,Super Area,Sainikpuri,_-9 Hyderabad,,Bac!helors/Fam%ily,2.0,Contact Owner,36000
2022-07-06,2.0,1428.0,,Super Area,"Beeramguda, Ramachandra Puram, NH 9","India-"" Hyderabad",Semi-Furnished,Fam&il/y,2.0,Contact Agent,20000
2022-05-22,3.0,1700.0,3 out of 5,,"Ashok Nagar, Himayath Nagar",India-$ Hyderabad,Furnished,F(ami?ly,3.0,Contact Agent,30000
2022-07-02,2.0,,2 out of 5,Super Area,"Kismatpur, Outer Ring Road",India-= Hyderabad,Semi-Furnished,Fa@mil\y,2.0,Contact Owner,12000
2022-05-22,2.0,1000.0,2 out of 5,Super Area,,India-# Hyderabad,Semi-Furnished,Bac';helors/Family,2.0,Contact Agent,16000
,,,3 out of 5,Super Area,"Pragathi Nagar, Kukatpally",India-/ Hyderabad,Unfurnished,,2.0,Contact Owner,13000
2022-07-05,3.0,,3 out of 5,Carpet Area,sri sai arcade madinaguda,India-/ Hyderabad,Furnished,"Bachelo<rs/Family""",2.0,Contact Owner,22000
2022-07-06,1.0,450.0,1 out of 3,Super Area,Madhapur,India-^ Hyderabad,Unfurnished,Fa&mil|y,1.0,Contact Agent,15000
2022-05-06,3.0,1540.0,2 out of 5,Super Area,Attapur,%-9 Hyderabad,Unfurnished,Bach>elor:s/Family,2.0,Contact Owner,14000
2022-05-06,2.0,,2 out of 8,Super Area,"Saroornagar, NH 9","India-"" Hyderabad",Semi-Furnished,Bachelors/F+;amily,2.0,,8000
2022-07-06,3.0,,7 out of 30,,Nanakaramguda,India-_ Hyderabad,Furnished,B;achelors=,3.0,,57000
2022-05-31,,2100.0,1 out of 3,Carpet Area,"Uppal, NH 2 2",?-9 Hyderabad,Furnished,Bac)hel}ors/Family,3.0,,1200
2022-07-08,2.0,550.0,,Carpet Area,Ram nagar,"India-, Hyderabad",Unfurnished,Bac|hel@ors,1.0,Contact Owner,8000
2022-05-18,3.0,1600.0,1 out of 5,Super Area,"Miyapur, NH 9",--9 Hyderabad,Semi-Furnished,|Bac$helors/Family,3.0,Contact Owner,15000
2022-07-10,2.0,,4 out of 5,Super Area,"Madinaguda, Hafeezpet, NH 9","India-"" Hyderabad",Furnished,Bac^&helors/Family,2.0,Contact Owner,17000
2022-06-18,2.0,500.0,1 out of 2,Super Area,"Saidabad Colony, Sayeedabad",*-9 Hyderabad,,"B""achelo/rs/Family",2.0,Contact Owner,12000
2022-06-17,3.0,1300.0,Ground out of 5,Carpet Area,"Manikonda, Outer Ring Road",India-$ Hyderabad,Semi-Furnished,Ba.chel?ors/Family,,Contact Owner,25000
2022-06-25,2.0,600.0,1 out of 3,Super Area,Ramchandrapuram Mandal,|-9 Hyderabad,Unfurnished,Bachelors=/]Family,1.0,,13000
2022-06-25,3.0,1565.0,1 out of 6,,"KMR Estates, Serilingampally",|-9 Hyderabad,Furnished,Bachel%*ors/Family,3.0,Contact Owner,35000
2022-07-06,1.0,350.0,2 out of 4,Super Area,Langar Houz,India-+ Hyderabad,Unfurnished,Bachelo{|rs/Family,,Contact Owner,6500
2022-06-03,2.0,1100.0,1 out of 4,Super Area,"Padmanabha Nagar, Mehdipatnam",India-> Hyderabad,Unfurnished,",B""achelors/Family",2.0,Contact Owner,11000
2022-05-12,2.0,1200.0,1 out of 6,,Vijay nagar colony m,India-! Hyderabad,Semi-Furnished,"Bachelors/""Family<",2.0,Contact Owner,25000
2022-06-03,3.0,,1 out of 5,Super Area,"Miyapur, NH 9",India-[ Hyderabad,Furnished,]F<amily,3.0,Contact Owner,35000
2022-05-25,3.0,2200.0,3 out of 6,Super Area,Toli Chowki,India-> Hyderabad,Semi-Furnished,Bachelo[r[s/Family,3.0,Contact Owner,27000
2022-07-06,3.0,1400.0,,Super Area,Toli Chowki,--9 Hyderabad,Unfurnished,Bac>helors/Fa|mily,3.0,Contact Owner,18000
2022-05-06,,1950.0,5 out of 6,Super Area,Sainikpuri,India-. Hyderabad,Semi-Furnished,Bachelors/F:$amily,3.0 Bathrooms,Contact Owner,20000
2022-05-16,,130.0,1 out of 1,Carpet Area,Rampally,,Unfurnished,Bache!l:ors/Family,2.0,Contact Owner,8500
,2.0,1300.0,Ground out of 2,Super Area,Bandlaguda Jagir,,Semi-Furnished,Bachelors$]/Family,,Contact Owner,14000
2022-06-09,3.0,,5 out of 12,Super Area,Gachibowli,]-9 Hyderabad,Unfurnished,Bachelor[s&/Family,3.0,Contact Owner,35000
2022-07-06,2.0,1135.0,3 out of 5,Super Area,Suchitra Circle,India-. Hyderabad,Semi-Furnished,Bachelors/F-$amily,2.0,Contact Owner,16000
2022-05-12,,1800.0,3 out of 4,,"Banjara Hills, NH 9",&-9 Hyderabad,Unfurnished,Bachel)ors/Fami:ly,2.0,,20000
2022-06-14,3.0,1400.0,1 out of 5,,Attapur,India-( Hyderabad,Furnished,*$Bachelors/Family,3.0,Contact Owner,18000
,,3698.0,16 out of 22,Carpet Area,"Gachibowli CUC, Outer Ring Road",%-9 Hyderabad,Semi-Furnished,Fa!]mily,5.0,Contact Agent,140000
2022-05-12,2.0,950.0,Ground out of 4,Super Area,"Bolarum, Medchal Road",{-9 Hyderabad,Unfurnished,Bache/lors/^Family,2.0,Contact Owner,10000
2022-05-12,2.0,650.0,1 out of 2,Super Area,Begumpet,_-9 Hyderabad,Unfurnished,Bach_elors/>Family,2.0,Contact Owner,12000
2022-06-24,1.0,100.0,3 out of 3,Carpet Area,in 1-71/1/a,#-9 Hyderabad,Semi-Furnished,Bachel_ors/Fami(ly,,,5300
2022-05-25,2.0,950.0,2 out of 3,Carpet Area,IDA Uppal,[-9 Hyderabad,Unfurnished,B:achel|ors,2.0,Contact Owner,11000
2022-06-10,2.0,1000.0,1 out of 2,Carpet Area,,'-9 Hyderabad,Unfurnished,B-a$chelors,2.0,Contact Owner,12000
2022-06-06,2.0,900.0,3 out of 4,Carpet Area,Gwachiwali,India-' Hyderabad,Semi-Furnished,Bachel*ors/Fami|ly,1.0,Contact Owner,12000
2022-05-29,,1800.0,7 out of 10,Carpet Area,Trimulgherry,India-} Hyderabad,Semi-Furnished,Bache-l[ors/Family,3.0,Contact Owner,20000
2022-07-02,2.0,,2 out of 3,Super Area,Kapra,,Unfurnished,Ba#chel|ors/Family,,Contact Owner,13000
2022-05-09,,1800.0,,,"Hyder Shah Kote, Chevella Road",India-( Hyderabad,Semi-Furnished,Bachelors/Family)),,Contact Owner,22000
2022-05-12,2.0,1000.0,,Super Area,Hyderguda,?-9 Hyderabad,,Bachel^ors/#Family,2.0,Contact Owner,15000
2022-05-12,1.0,450.0,1 out of 2,Super Area,,"""-9 Hyderabad",Unfurnished,B#ach{elors/Family,1.0,Contact Owner,5400
,3.0,,,Super Area,Bandam Kommu,,Unfurnished,@Bachelors/Fami%ly,3.0 Bathrooms,Contact Owner,16500
2022-06-29,2.0,1150.0,4 out of 5,,,]-9 Hyderabad,Furnished,"B,achelors/F:amily",2.0,Contact Owner,12000
2022-06-22,2.0,,2 out of 3,,Musheerabad,.-9 Hyderabad,Semi-Furnished,Bachel'ors/F_amily,2.0,Contact Owner,8500
,2.0,1050.0,2 out of 5,Carpet Area,Attapur,@-9 Hyderabad,,",B'achelors",2.0,Contact Owner,14000
2022-06-08,,1500.0,2 out of 3,Carpet Area,,_-9 Hyderabad,Unfurnished,Bachelors/@Famil?y,2.0,Contact Owner,15000
2022-05-12,2.0,750.0,1 out of 2,Super Area,"Ramachandra Puram, NH 9",)-9 Hyderabad,Unfurnished,Ba^chelors/Fa+mily,2.0,Contact Owner,6000
2022-05-12,2.0,1100.0,,Super Area,Mehdipatnam,India-> Hyderabad,Semi-Furnished,Ba:che+lors/Family,2.0,Contact Owner,14000
2022-06-29,2.0,800.0,Ground out of 3,Super Area,Road no 3 banjara hills hyderabad 500035,%-9 Hyderabad,Unfurnished,Bachelors/Fa|mily&,2.0,Contact Owner,15000
,3.0,,1 out of 5,Carpet Area,Jubilee Hills,India-= Hyderabad,Unfurnished,B;ac@helors,3.0,Contact Agent,37000
2022-06-30,1.0,750.0,2 out of 3,Super Area,"Bapu Nagar, Lakdikapul",,Unfurnished,[Bachelors/Fam}ily,1.0,Contact Owner,6500
2022-05-20,2.0,,2 out of 3,Super Area,Borabanda,*-9 Hyderabad,Unfurnished,B#achelors&/Family,1.0,Contact Owner,10000
2022-05-25,2.0,1080.0,,Super Area,"Habsiguda, NH 2 2",India-{ Hyderabad,Semi-Furnished,,2.0,Contact Owner,12000
,2.0,1100.0,3 out of 3,,Nizampet,|-9 Hyderabad,Unfurnished,Bachelors/Fa=m[ily,2.0,Contact Owner,12000
2022-05-17,,750.0,2 out of 3,Super Area,Alwal,India-. Hyderabad,Semi-Furnished,Bachelors/Fam_ily*,2.0,Contact Owner,9000
2022-07-10,3.0,2405.0,10 out of 14,,"Khaja Guda, Outer Ring Road",$-9 Hyderabad,Semi-Furnished,,4.0,Contact Agent,60000
2022-04-30,2.0,1248.0,4 out of 5,Carpet Area,Kothapet,India-) Hyderabad,Semi-Furnished,Bachelor}s/Fa(mily,2.0,Contact Owner,18000
2022-06-02,,,2 out of 5,Carpet Area,Dhulapally,%-9 Hyderabad,Semi-Furnished,,2.0 Bathrooms,Contact Owner,14000
2022-07-10,3.0,2300.0,2 out of 5,Carpet Area,"Ashok Nagar, Himayath Nagar",@-9 Hyderabad,Semi-Furnished,"Bac\helo""rs/Family",3.0,Contact Agent,50000
2022-07-08,2.0,1000.0,3 out of 5,Carpet Area,"Madinaguda, Hafeezpet, NH 9",India-) Hyderabad,Furnished,Bach!elors(,2.0,Contact Owner,17000
2022-05-06,2.0,800.0,4 out of 5,Super Area,Old Bowenpally,India-* Hyderabad,Unfurnished,Bac@helors/Fami\ly,2.0,Contact Owner,9000
2022-07-06,,3115.0,3 out of 3,Super Area,"Hormany nest Apartments gandipet Apartmentge hyderabad, Hyderabad",India-- Hyderabad,Furnished,Bachelors@/Family$,5.0,Contact Owner,80000
2022-06-22,1.0,500.0,,Super Area,"Saroornagar, NH 9",India-? Hyderabad,Unfurnished,Bachelors/F$>amily,1.0,Contact Owner,7500
2022-05-15,2.0,,5 out of 5,Carpet Area,"Miyapur, NH 9",India-] Hyderabad,Unfurnished,Ba>chelo!rs/Family,2.0,,14000
2022-07-06,,1374.0,2 out of 3,Super Area,Trimulgherry,*-9 Hyderabad,Semi-Furnished,Ba*chel_ors/Family,2.0,Contact Owner,14000
2022-04-30,,1300.0,,Carpet Area,,<-9 Hyderabad,,Bachel^ors/Fam:ily,1.0,Contact Owner,10000
2022-05-25,2.0,1150.0,5 out of 6,Super Area,Abhyudaya Nagar,,Furnished,Bachel|ors/F)amily,2.0,Contact Owner,17000
2022-07-02,,450.0,2 out of 3,Carpet Area,"Kukatpally, NH 9",India-> Hyderabad,,Bachel%$ors,1.0,Contact Owner,6500
2022-05-06,2.0,927.0,3 out of 5,Super Area,Bachupally,,Semi-Furnished,Bachelors?/Fa(mily,2.0,Contact Owner,10000
2022-06-25,3.0,,,,"Rajendra Nagar, Outer Ring Road",India-& Hyderabad,Unfurnished,Bachelo+rs/Famil:y,3.0,Contact Owner,22000
2022-07-06,2.0,1200.0,1 out of 3,Super Area,,India-: Hyderabad,Unfurnished,Bachelors/Fami*ly\,2.0,,15000
,2.0,1200.0,Ground out of 2,Super Area,Patelguda,"India-, Hyderabad",Semi-Furnished,Ba)c_helors/Family,2.0,,12000
2022-07-06,3.0,2800.0,,,"Kokapet, Outer Ring Road",India-: Hyderabad,Furnished,[Famil'y,3.0,Contact Agent,52000
,1.0,562.0,3 out of 4,Super Area,Amberpet,,Unfurnished,=Bache(lors/Family,1.0,Contact Owner,6500
2022-06-19,2.0,1500.0,1 out of 3,Super Area,,,,Bac$helors/Famil*y,2.0,Contact Owner,20000
2022-05-06,3.0,1950.0,Ground out of 3,Super Area,Kondapur,,Semi-Furnished,,3.0,Contact Owner,25000
2022-07-10,,1360.0,3 out of 8,,"Ghatkesar, NH 2 2",[-9 Hyderabad,,"Bac,helors^",2.0,Contact Owner,14000
2022-06-25,3.0,1800.0,1 out of 3,Super Area,Prashanth hills,India-& Hyderabad,Semi-Furnished,Bachelors}/Fa<mily,3.0,,25000
2022-05-31,2.0,950.0,,,"Kachiguda, NH 2 2",India-> Hyderabad,Semi-Furnished,Bachelors/Fa&mi%ly,2.0,Contact Owner,12500
2022-07-05,2.0,780.0,3 out of 3,Carpet Area,Sri BALAJI CLASSIC BHAVANI NAGAR RD NO 5,:-9 Hyderabad,Unfurnished,",Bach/elors",2.0,Contact Owner,12000
2022-06-10,,500.0,1 out of 3,,"Khairatabad, NH 7",.-9 Hyderabad,,Bachelors/#>Family,1.0,Contact Owner,10000
2022-05-18,2.0,,3 out of 5,Super Area,"Ashok Nagar, Himayath Nagar",India-} Hyderabad,Semi-Furnished,"$Bachel""ors/Family",2.0,Contact Owner,17000
2022-07-10,1.0,600.0,,Carpet Area,Kondapur,India-% Hyderabad,Semi-Furnished,B>achel@ors,1.0,Contact Agent,15500
,3.0,1800.0,Ground out of 1,Carpet Area,"Banjara Hills, NH 9",:-9 Hyderabad,,Bachelors/F?amily.,3.0,Contact Agent,65000
2022-07-06,3.0,1800.0,14 out of 30,Carpet Area,Gachibowli,India-\ Hyderabad,Unfurnished,"}Bachelors/Family,",3.0,Contact Agent,60000
2022-07-06,,1900.0,4 out of 10,Carpet Area,Gachibowli,?-9 Hyderabad,,,3.0,Contact Agent,45000
2022-06-18,2.0,1100.0,3 out of 5,,"Safilguda, Secunderabad",)-9 Hyderabad,Unfurnished,B&achelors/F|amily,,Contact Owner,10500
2022-05-24,2.0,200.0,,Super Area,BHEL,India-^ Hyderabad,Unfurnished,Bachelors/Fa&mily;,1.0,Contact Owner,9000
2022-05-06,3.0,1400.0,3 out of 5,,Nawab Saheb Kunta,=-9 Hyderabad,,Bachel-ors/Fam;ily,3.0,Contact Owner,20000
2022-07-06,2.0,,2 out of 5,Carpet Area,Kondapur,,Semi-Furnished,B-achelor's,2.0,Contact Agent,20000
2022-05-06,,1600.0,2 out of 5,,"Quthbullapur, NH 7",#-9 Hyderabad,,Bachelo.rs^/Family,3.0,Contact Owner,18000
2022-05-06,,1150.0,2 out of 5,Super Area,Nizampet,,Semi-Furnished,Ba&ch{elors/Family,2.0,Contact Owner,12000
2022-05-06,2.0,130.0,2 out of 3,Super Area,"Subhash Nagar, Secunderabad",India-} Hyderabad,Unfurnished,B?achelors/Family{,2.0,Contact Owner,12000
2022-06-27,4.0,3800.0,1 out of 1,,"MLA Colony, Banjara Hills",India-$ Hyderabad,Semi-Furnished,Bachelor#s/Fam$ily,4.0,Contact Agent,120000
,3.0,1720.0,4 out of 10,,"Narsingi, Outer Ring Road",India-@ Hyderabad,Semi-Furnished,Bachelors/Fa)\mily,3.0,Contact Owner,28000
2022-04-30,1.0,500.0,1 out of 3,Super Area,"Hayathnagar, NH 9",India-# Hyderabad,Unfurnished,Bachelors/Fam|i|ly,1.0,Contact Owner,6000
2022-06-14,2.0,1200.0,2 out of 6,Super Area,Mehdipatnam,India-) Hyderabad,Unfurnished,"Bach)elors/""Family",2.0,Contact Owner,12500
2022-05-06,4.0,2400.0,2 out of 4,,"Upparpally, Hyderabad Expressway",,Semi-Furnished,Bac+helors/F:amily,4.0,Contact Owner,31000
2022-05-25,,800.0,3 out of 4,Super Area,"Boduppal, NH 2 2",/-9 Hyderabad,Furnished,Bachelor$s/Fami&ly,,Contact Owner,7000
2022-06-24,2.0,1300.0,4 out of 5,Super Area,"Basheer Bagh, NH 7",,Semi-Furnished,Bachelors/Fam#)ily,2.0 Bathrooms,Contact Owner,22000
2022-04-30,2.0,,,Super Area,,India-: Hyderabad,Furnished,"Bac,}helors/Family",2.0,Contact Owner,17500
2022-06-04,2.0,650.0,,Super Area,"Padmarao Nagar, Hyderabad-Karimnagar Highway",India-& Hyderabad,Unfurnished,Bachelors&/F%amily,2.0,Contact Owner,14000
2022-06-12,,103.0,2 out of 4,Super Area,"Boduppal, NH 2 2",[-9 Hyderabad,Unfurnished,,2.0,Contact Owner,9500
2022-04-30,1.0,950.0,1 out of 5,Super Area,,India-\ Hyderabad,Semi-Furnished,Ba|chelors/Famil<y,,Contact Owner,7000
2022-05-06,3.0,1500.0,,Super Area,RTC Colony-Chandanagar,*-9 Hyderabad,Unfurnished,Bachelors/F'amil$y,3.0,Contact Owner,15000
2022-06-30,3.0,1550.0,5 out of 5,Carpet Area," in Miyapur, NH 9",\-9 Hyderabad,Unfurnished,"Bachelors/F[,amily",2.0,Contact Owner,15000
2022-07-06,,,,Super Area,"Sivarampalli, Hyderabad Expressway",|-9 Hyderabad,Unfurnished,Ba$chelors/F_amily,2.0,,10000
2022-07-06,3.0,1800.0,1 out of 2,Super Area,Kanchan Bagh,,Unfurnished,Bachel'ors(/Family,2.0,Contact Owner,14000
,4.0,2550.0,,Carpet Area,"Banjara Hills, NH 9",India-^ Hyderabad,Semi-Furnished,,4.0,Contact Agent,85000
2022-05-12,1.0,500.0,Ground out of 3,Super Area,Vikas Nagar-Bandlaguda Jagir,{-9 Hyderabad,Unfurnished,,1.0,Contact Owner,5500
2022-05-12,2.0,,Ground out of 3,Super Area,"Kukatpally, NH 9",.-9 Hyderabad,Semi-Furnished,,2.0,Contact Owner,14000
,2.0,800.0,1 out of 2,Super Area,"Kukatpally, NH 9",India-; Hyderabad,,Bachelors:/Fami<ly,2.0,Contact Owner,10000
2022-05-12,2.0,1300.0,2 out of 4,,"Safilguda, Secunderabad",/-9 Hyderabad,Unfurnished,B[ach>elors/Family,2.0,Contact Owner,10000
2022-05-12,2.0,600.0,,Super Area,"Banjara Hills, NH 9",<-9 Hyderabad,,Ba/chelor%s/Family,2.0,Contact Owner,13000
,,1000.0,2 out of 6,Super Area,Toli Chowki,.-9 Hyderabad,Unfurnished,B(achelors/Famil}y,3.0,Contact Owner,20000
2022-06-10,3.0,1000.0,1 out of 4,,,India-} Hyderabad,Semi-Furnished,#Bach|elors/Family,3.0,Contact Owner,25000
2022-05-12,,500.0,2 out of 3,Super Area,"Janachaitanya colony, Hyderabad Expressway",India-] Hyderabad,,"Bache""lor#s/Family",1.0,Contact Owner,7500
2022-06-06,1.0,,Ground out of 4,Super Area," Beeramguda, Ramachandra Puram, NH 9",{-9 Hyderabad,Unfurnished,Bach?elors/Family},10.0,Contact Owner,200000
2022-05-01,2.0,1100.0,2 out of 3,Carpet Area,"Gangaram, Chandanagar, NH 9",India-^ Hyderabad,Unfurnished,"Ba'chelors/Fami""ly",2.0,Contact Owner,12000
2022-07-03,2.0,1100.0,Ground out of 3,Carpet Area,"Kanaka Durga Colony, Gudimalkapur",*-9 Hyderabad,Unfurnished,>Bachelo[rs/Family,2.0,Contact Owner,9500
2022-05-06,,200.0,1 out of 1,,railway employees housing colony Bollarum,@-9 Hyderabad,Unfurnished,Bachel{%ors,2.0,Contact Owner,12000
2022-05-25,2.0,,2 out of 3,Super Area,"Boduppal, NH 2 2",India-+ Hyderabad,Unfurnished,Fam'ily',2.0,Contact Owner,10000
2022-07-08,,,1 out of 1,Super Area,Gurramguda balaj homes p no 4,India-? Hyderabad,Furnished,B(achelors/Fa*mily,,Contact Owner,8000
2022-07-02,3.0,1350.0,,Super Area,Saidabad,,,,,Contact Owner,16000
2022-07-06,2.0,1200.0,Ground out of 1,Super Area,,,Unfurnished,"Bachelors/Fami/,ly",2.0,Contact Owner,12333
2022-06-19,1.0,400.0,3 out of 4,Carpet Area,"Bharat Nagar, Moosapet",India-( Hyderabad,Unfurnished,Bac;helors$,1.0,Contact Owner,9500
2022-07-06,2.0,1200.0,Ground out of 4,Super Area,"Manikonda, Outer Ring Road",India-. Hyderabad,Semi-Furnished,,2.0 Bathrooms,,16000
2022-04-30,3.0,,,,"Saidabad Colony, Sayeedabad",India-_ Hyderabad,Semi-Furnished,_Bachelor)s/Family,3.0,Contact Owner,20000
2022-06-10,3.0,1300.0,2 out of 3,Carpet Area,Rock Town Colony,India-% Hyderabad,Unfurnished,%Bachelor\s,3.0,Contact Owner,14000
2022-07-01,1.0,400.0,2 out of 2,,"DNM Colony, Sanath Nagar",*-9 Hyderabad,Unfurnished,Bachelo=rs/Family{,1.0,Contact Owner,7500
2022-06-06,1.0,650.0,1 out of 6,Super Area,Suraram,+-9 Hyderabad,Unfurnished,"Bachel,ors(/Family",1.0,Contact Owner,13900
,1.0,500.0,2 out of 3,Super Area,Vidyanagar,$-9 Hyderabad,Unfurnished,B'ache-lors,1.0,Contact Owner,5500
2022-04-30,2.0,875.0,4 out of 5,Super Area,Attapur,India-@ Hyderabad,Semi-Furnished,Bach!elors/Famil;y,2.0,Contact Owner,9000
2022-06-24,1.0,850.0,3 out of 3,Super Area," in Boduppal, NH 2 2",_-9 Hyderabad,Unfurnished,Ba(chelors/Famil*y,2.0,Contact Owner,4700
,3.0,1730.0,,Super Area,Nalagandla,India-= Hyderabad,Semi-Furnished,"Bachelors,/Fami>ly",3.0,Contact Owner,30000
2022-05-31,,1500.0,2 out of 6,Carpet Area,Kompally,+-9 Hyderabad,Semi-Furnished,Ba_ch#elors,3.0,Contact Owner,16500
2022-06-29,3.0,,4 out of 4,,Akkineni Homes Yousufguda,India-{ Hyderabad,Semi-Furnished,Bachelor{s/F|amily,3.0,,24000
2022-06-18,2.0,900.0,1 out of 2,Super Area,"Peerzadiguda, NH 2 2",)-9 Hyderabad,Unfurnished,Bachel}ors/#Family,2.0,Contact Owner,9500
2022-06-19,2.0,925.0,2 out of 2,Super Area,"Chandanagar, NH 9",India-_ Hyderabad,Semi-Furnished,,2.0,Contact Owner,12000
2022-07-06,2.0,1500.0,2 out of 4,,"LB Nagar, NH 9",,Unfurnished,Bachelors-/Famil=y,2.0,Contact Owner,15000
,,1600.0,1 out of 3,,Tarnaka,;-9 Hyderabad,Semi-Furnished,}Famil&y,3.0,Contact Owner,22500
2022-06-29,3.0,1300.0,2 out of 3,Carpet Area,"Banjara Hills, NH 9",=-9 Hyderabad,Semi-Furnished,=Bachelors&,,Contact Agent,32000
2022-05-29,2.0,1200.0,Ground out of 3,Super Area,Sainikpuri,India-) Hyderabad,,Bachelo[r{s/Family,2.0,Contact Owner,10000
,2.0,133.0,1 out of 2,Super Area,Old Bowenpally,>-9 Hyderabad,Semi-Furnished,]Bachelo}rs/Family,2.0,Contact Owner,13000
2022-07-06,2.0,950.0,Ground out of 1,Super Area,,India-} Hyderabad,Unfurnished,Fa@$mily,2.0,Contact Owner,7000
,,1200.0,,,Santosh Nagar,India-. Hyderabad,Semi-Furnished,Bachel\+ors/Family,,Contact Owner,12000
2022-05-12,2.0,950.0,,Super Area,,.-9 Hyderabad,Unfurnished,Bachelo!r:s/Family,2.0,Contact Owner,7500
2022-07-06,2.0,1095.0,4 out of 5,Super Area,"Gundlapochampally, Outer Ring Road",",-9 Hyderabad",,Bachelors/>Family;,2.0,Contact Owner,15000
2022-07-06,1.0,400.0,3 out of 4,Super Area,Chanda Nagar,"India-, Hyderabad",,Bachelo)rs)/Family,1.0,Contact Owner,8000
2022-06-17,3.0,2210.0,4 out of 5,Super Area,"Nallagandla, Serilingampally",}-9 Hyderabad,Semi-Furnished,Fa@>mily,3.0,Contact Owner,25000
2022-06-11,3.0,,4 out of 5,Super Area,Madhapur,India-! Hyderabad,Semi-Furnished,Bach?elors/Famil]y,2.0,Contact Agent,26000
2022-05-12,,,2 out of 4,Super Area,"Bolarum, Medchal Road",}-9 Hyderabad,Semi-Furnished,,3.0,,15000
2022-07-06,1.0,80.0,Ground out of 2,,Rhoda Mistri Nagar,India-> Hyderabad,Semi-Furnished,Bach/elors/Famil-y,1.0,Contact Owner,3000
2022-05-25,2.0,1315.0,,,Aminpur,\-9 Hyderabad,Semi-Furnished,Bache\lors/F?amily,2.0,Contact Owner,12500
2022-07-06,3.0,1600.0,2 out of 5,Carpet Area,Jubilee Hills,}-9 Hyderabad,Semi-Furnished,(Ba#chelors/Family,3.0,Contact Agent,42000
,2.0,1450.0,2 out of 6,Super Area,,India-: Hyderabad,Semi-Furnished,B:achelors/F-amily,2.0,Contact Owner,20000
2022-07-06,3.0,1900.0,2 out of 5,Carpet Area,,",-9 Hyderabad",Semi-Furnished,,,Contact Agent,40000
2022-07-06,3.0,2600.0,,,"Banjara Hills, NH 9",,Semi-Furnished,,3.0,Contact Agent,45000
2022-05-12,1.0,,Ground out of 1,Super Area,"Hafeezpet, NH 9",/-9 Hyderabad,Unfurnished,Bache&lo_rs/Family,2.0,Contact Owner,8500
2022-06-01,2.0,1000.0,4 out of 5,Super Area,,,Semi-Furnished,Bac)helors|/Family,2.0,Contact Owner,15000
2022-05-20,2.0,100.0,2 out of 3,Super Area,Chanchalguda,"""-9 Hyderabad",Unfurnished,&Bac*helors/Family,2.0,Contact Owner,9000
2022-05-12,2.0,1100.0,Ground out of 3,Super Area,"Old Malakpet, NH 9",,,Bachelo+rs/?Family,2.0,Contact Owner,14000
2022-05-25,2.0,1200.0,2 out of 2,Super Area,"Troop Bazaar, Koti",India-/ Hyderabad,Unfurnished,"Bachelo""rs/F^amily",,Contact Owner,11000
2022-05-16,2.0,1400.0,2 out of 4,Super Area,"Ramachandra Puram, NH 9",>-9 Hyderabad,Unfurnished,"Bac.helor""s/Family",2.0,,10000
2022-06-02,3.0,2000.0,Ground out of 12,Carpet Area,Gachibowli,*-9 Hyderabad,Semi-Furnished,&Famil%y,3.0,Contact Agent,55000
2022-07-02,2.0,1070.0,2 out of 5,Carpet Area,HMT Swarnapuri Colony,India-] Hyderabad,Unfurnished,Fa'mi#ly,2.0,Contact Owner,10000
2022-05-16,,1450.0,3 out of 3,Carpet Area,Camelot Layout,*-9 Hyderabad,,Fa=;mily,2.0,,25000
2022-05-16,,1230.0,1 out of 6,Super Area,Puppalaguda,\-9 Hyderabad,Furnished,Bachelor[s/Famil%y,2.0,Contact Owner,27000
2022-06-22,2.0,1000.0,Ground out of 2,Super Area,LIG Colony,&-9 Hyderabad,Semi-Furnished,;Bachel.ors,3.0,Contact Owner,12000
,2.0,1200.0,,,Chintalakunta,@-9 Hyderabad,Unfurnished,Bachelors/^Fami=ly,,Contact Owner,16000
